pid,gender,ibirthy,age_range,qg11_2014,qg11_2016,qg11_2018,qg11_2020,qg11_2022
620330104,0,1987,27-35,3200,NA,4300,5200,5500
620227103,1,1994,20-28,NA,1300,2008,NA,6000
620309106,1,1995,19-27,1500,3000,NA,4500,4500
620330103,1,1982,32-40,3500,NA,4000,3500,6500
620230104,0,1956,58-66,NA,1020,1200,1680,NA
620913101,1,1979,35-43,3000,NA,5000,6000,7000
620309105,1,1994,20-28,2400,NA,4500,4500,4000
620251104,1,1989,25-33,NA,3800,NA,NA,8500
620330106,1,1985,29-37,NA,NA,5300,5500,7000
620233105,1,1987,27-35,NA,NA,NA,4500,4500
620229102,1,1980,34-42,NA,NA,5000,7000,6000
620236101,1,1978,36-44,NA,NA,3000,4000,4500
620328102,1,1979,35-43,3400,NA,NA,4200,5000
620312104,1,1989,25-33,NA,NA,3000,5000,5500
620324104,1,1997,17-25,NA,NA,NA,3500,5300
620323101,1,1953,61-69,NA,3900,2000,NA,4500
620331101,1,1976,38-46,2400,NA,NA,NA,4000
620227104,1,1995,19-27,NA,1600,NA,3500,NA
621718103,0,1972,42-50,NA,NA,NA,1000,2000
621718101,1,1994,20-28,NA,NA,NA,15000,14500
621266101,0,1975,39-47,NA,2000,1200,1000,4800
621266102,1,1976,38-46,NA,2300,4000,4000,5400
621265102,1,1969,45-53,4500,NA,5000,4200,5500
621718102,1,1971,43-51,NA,2000,NA,3000,4000
621265101,1,1991,23-31,3500,4000,4500,4500,6000
621290104,1,1988,26-34,NA,NA,2500,3000,5000
621288103,1,1980,34-42,4000,NA,NA,4000,6000
621268103,1,1995,19-27,3000,3500,NA,4000,NA
621548101,1,1985,29-37,7000,NA,NA,2000,NA
620804102,0,1975,39-47,2800,NA,4800,4800,5100
620852106,1,1982,32-40,NA,NA,4500,5000,4000
620850104,1,1994,20-28,3000,0,3000,6000,4500
620108103,1,1984,30-38,3000,NA,NA,5500,7000
620717105,1,1995,19-27,NA,NA,6300,7000,10000
620739104,1,1988,26-34,4000,NA,NA,450,NA
620736103,1,1986,28-36,2000,NA,3500,6500,6000
620558103,1,1991,23-31,4800,NA,NA,5250,5666
620718104,1,1986,28-36,NA,NA,5500,6000,6000
620739106,0,1989,25-33,3800,NA,NA,6000,5000
620732103,1,1987,27-35,NA,NA,NA,5000,6500
620557103,1,1986,28-36,NA,NA,5600,4500,7000
621352102,1,1979,35-43,5500,5500,NA,7000,NA
621343103,1,1970,44-52,NA,4500,NA,4500,6000
620747102,1,1980,34-42,3000,NA,4000,NA,NA
620571105,0,1992,22-30,NA,NA,2000,5000,6000
620548105,1,1993,21-29,NA,NA,3000,7000,7000
620761103,1,1989,25-33,NA,NA,5000,8000,10000
620771103,1,1985,29-37,NA,NA,NA,290,6000
621332103,1,1992,22-30,NA,4000,NA,6000,11000
620750102,1,1966,48-56,2800,NA,NA,NA,2800
620480104,0,1985,29-37,NA,NA,NA,2500,3000
620429107,1,1986,28-36,NA,4000,NA,NA,7500
620429103,1,1984,30-38,4000,NA,3000,NA,5000
620480101,1,1983,31-39,3200,NA,NA,3500,4800
